/Idpi/M7/S (vgsp_il=0.4) X,/Idpi/M7/S (vgsp_il=0.4) Y,/Idpi/M7/S (vgsp_il=0.4519324) X,/Idpi/M7/S (vgsp_il=0.4519324) Y,/Idpi/M7/S (vgsp_il=0.5106072) X,/Idpi/M7/S (vgsp_il=0.5106072) Y,/Idpi/M7/S (vgsp_il=0.5768998) X,/Idpi/M7/S (vgsp_il=0.5768998) Y,/Idpi/M7/S (vgsp_il=0.6517993) X,/Idpi/M7/S (vgsp_il=0.6517993) Y,/Idpi/M7/S (vgsp_il=0.736423) X,/Idpi/M7/S (vgsp_il=0.736423) Y,/Idpi/M7/S (vgsp_il=0.8320335) X,/Idpi/M7/S (vgsp_il=0.8320335) Y,/Idpi/M7/S (vgsp_il=0.9400572) X,/Idpi/M7/S (vgsp_il=0.9400572) Y,/Idpi/M7/S (vgsp_il=1.062106) X,/Idpi/M7/S (vgsp_il=1.062106) Y,/Idpi/M7/S (vgsp_il=1.2) X,/Idpi/M7/S (vgsp_il=1.2) Y
10.01000302183806,-1.093195141044102e-08,10.01000302149376,-5.835290855663826e-09,10.01000302128574,-7.032918407802157e-09,10.01000302127337,-5.780475443668898e-09,10.01000302103946,3.736612706131918e-09,10.01000302111064,1.169562480447383e-08,10.01000301906536,1.570429839595204e-08,10.01000301917263,1.565403773693179e-08,10.01000301865818,1.779387117862199e-08,10.01000301867358,1.773062956429745e-08
10.01000302185637,-1.064859281979319e-08,10.01000302151406,-5.351650085312334e-09,10.01000302130307,-6.016893697545275e-09,10.01000302129312,-6.20281789375557e-09,10.01000302106309,2.514544043577302e-09,10.01000302113331,1.030018131128928e-08,10.01000301909232,1.554797584260002e-08,10.01000301920331,1.555545323728516e-08,10.0100030186913,1.746773471805199e-08,10.01000301870151,1.749134621985699e-08
10.01000302187395,-9.85399432814757e-09,10.01000302152475,-5.198877513181288e-09,10.01000302132335,-4.839309732718073e-09,10.01000302131142,-5.395787770599909e-09,10.01000302108097,9.732953060487736e-10,10.01000302115092,8.511501193172342e-09,10.01000301912036,1.542311977013281e-08,10.01000301923718,1.547282791824355e-08,10.01000301872394,1.715178188258956e-08,10.01000301872841,1.730043075688041e-08
10.01000302189466,-8.943160680027125e-09,10.01000302153181,-5.152055950429478e-09,10.01000302134273,-3.974755253120208e-09,10.0100030213289,-4.208583294730298e-09,10.01000302109853,-9.633520875307885e-10,10.01000302116852,6.218754467471722e-09,10.01000301915062,1.532139019636079e-08,10.0100030192751,1.540083550915926e-08,10.01000301875188,1.691316928620611e-08,10.01000301875548,1.71486688177499e-08
10.01000302191439,-8.290678853250197e-09,10.01000302153887,-5.191807092422078e-09,10.01000302136331,-3.361113308724897e-09,10.01000302134972,-2.94934470619046e-09,10.01000302111749,-2.71482058221229e-09,10.0100030211876,4.118864696274051e-09,10.01000301918396,1.523652542201883e-08,10.01000301931808,1.533682972222869e-08,10.01000301877878,1.67229137153973e-08,10.01000301878386,1.702686804632918e-08
10.01000302193466,-7.860123597237348e-09,10.0100030215442,-5.280227261223472e-09,10.01000302138111,-3.050435887062786e-09,10.01000302136939,-2.078817239941876e-09,10.01000302113713,-3.152170720654327e-09,10.01000302120737,3.588955545221672e-09,10.01000301922121,1.516301569707729e-08,10.01000301936745,1.528255637113158e-08,10.01000301880584,1.657173878155957e-08,10.0100030188146,1.692737501627268e-08
10.01000302194525,-7.726669953096435e-09,10.01000302155,-5.403811103628808e-09,10.01000302138758,-3.009860344399351e-09,10.01000302138971,-1.494671242155997e-09,10.01000302115543,-2.218476081705477e-09,10.01000302122566,4.691120028252982e-09,10.01000301926336,1.509764032237515e-08,10.01000301942505,1.524217184461073e-08,10.01000301883421,1.645044731617727e-08,10.01000301884854,1.684399169855596e-08
10.01000302195225,-7.686608327210907e-09,10.0100030215546,-5.513827641071647e-09,10.01000302139405,-3.044465812552707e-09,10.01000302140047,-1.30001566138587e-09,10.01000302117294,-8.473115665645028e-10,10.01000302124316,6.314145581062054e-09,10.01000301931167,1.504149616739115e-08,10.01000301949357,1.521838470956471e-08,10.01000301886494,1.63513813275426e-08,10.01000301888655,1.677135421906055e-08
10.01000302195923,-7.723454168350801e-09,10.01000302155957,-5.644163026380189e-09,10.01000302139956,-3.128627859463817e-09,10.01000302140758,-1.226630695314346e-09,10.0100030211938,6.104049268580749e-10,10.01000302126394,8.033262442060452e-09,10.0100030193679,1.499862992948614e-08,10.01000301957747,1.521103305920455e-08,10.01000301889887,1.626835485082249e-08,10.01000301892964,1.670679983561824e-08
10.01000302196455,-7.805154181193584e-09,10.01000302156659,-5.8285833558828e-09,10.0100030214054,-3.246387573143474e-09,10.01000302141469,-1.238709591769441e-09,10.01000302121349,1.618717160729874e-09,10.01000302128361,9.226718606093314e-09,10.01000301943456,1.497214125289666e-08,10.0100030196844,1.521834394511942e-08,10.01000301893686,1.619602327952261e-08,10.01000301897915,1.665207628630117e-08
10.01000302197036,-7.925364275235412e-09,10.01000302157389,-5.99388930213139e-09,10.01000302141001,-3.351552763970539e-09,10.01000302142003,-1.307136718051129e-09,10.01000302123383,2.297736565107975e-09,10.01000302130393,1.003171615100792e-08,10.01000301951576,1.496226389675604e-08,10.01000301980256,1.523575135230744e-08,10.01000301897993,1.613173401100534e-08,10.01000301903693,1.66113612933185e-08
10.01000302197496,-8.038365417298035e-09,10.01000302158156,-6.124049124080624e-09,10.01000302141505,-3.478216791285724e-09,10.01000302142582,-1.413134834836039e-09,10.01000302124459,2.528309298623188e-09,10.01000302131465,1.030681558939216e-08,10.01000301961863,1.496735748995187e-08,10.01000301992923,1.5256409630773e-08,10.01000301902942,1.607723462193673e-08,10.0100030191057,1.658738446195681e-08
10.01000302197993,-8.177986073502661e-09,10.01000302159002,-6.211144571926607e-09,10.01000302142206,-3.651540662929397e-09,10.01000302143043,-1.514347717893473e-09,10.0100030212517,2.622409074551223e-09,10.01000302132174,1.042277296465681e-08,10.0100030197355,1.498353934566244e-08,10.01000302006473,1.527577337185757e-08,10.01000301908717,1.603669590779008e-08,10.01000301918995,1.657999196469333e-08
10.01000302198696,-8.381988976255015e-09,10.01000302159963,-6.245710239715981e-09,10.01000302142938,-3.802750375387525e-09,10.0100030214354,-1.639295141470293e-09,10.01000302125882,2.628393285632616e-09,10.01000302132883,1.044091225406841e-08,10.0100030198604,1.500402149917942e-08,10.01000302020402,1.529297006935528e-08,10.0100030191559,1.601283707674059e-08,10.0100030192974,1.658739675327487e-08
10.01000302199426,-8.572787258245805e-09,10.01000302161085,-6.219805385559514e-09,10.01000302143711,-3.916056961893581e-09,10.01000302144243,-1.817920842476996e-09,10.01000302126417,2.568801746585466e-09,10.01000302133417,1.03819370055757e-08,10.01000301999649,1.502376242726767e-08,10.01000302031739,1.531205862471243e-08,10.01000301924009,1.60054996654013e-08,10.01000301941567,1.660491036054792e-08
10.01000302200194,-8.732059826466472e-09,10.0100030216235,-6.134595073612545e-09,10.01000302144564,-3.982936086921151e-09,10.01000302144973,-1.97557262013512e-09,10.01000302126995,2.464009489363999e-09,10.01000302133996,1.026737428215777e-08,10.0100030201346,1.504103366528221e-08,10.01000302040775,1.533183783287276e-08,10.01000301934745,1.601290445872118e-08,10.01000301954251,1.66256224420341e-08
10.0100030220104,-8.85062301492521e-09,10.01000302163819,-5.997554003470385e-09,10.01000302145538,-3.994080817154977e-09,10.0100030214574,-2.093754553860292e-09,10.01000302127455,2.355442881805118e-09,10.01000302134458,1.014249582551536e-08,10.01000302025252,1.505945707553895e-08,10.0100030204907,1.534746687461722e-08,10.01000301946568,1.60303920073436e-08,10.01000301967804,1.664501948846013e-08
10.01000302202003,-8.917659292506935e-09,10.0100030216556,-5.822522207229292e-09,10.01000302146672,-3.942313933028545e-09,10.01000302146586,-2.162565154332753e-09,10.01000302127956,2.213249628858996e-09,10.01000302134955,9.97656159256271e-09,10.01000302034555,1.507950380552913e-08,10.01000302057695,1.535856560740428e-08,10.01000301959247,1.605108056776421e-08,10.01000301981751,1.66622977879695e-08
10.01000302203125,-8.923778286398168e-09,10.01000302167668,-5.629906276369647e-09,10.01000302147952,-3.831141503764003e-09,10.01000302147547,-2.171440966967561e-09,10.0100030212866,2.005714099919877e-09,10.01000302135657,9.729057658388442e-09,10.01000302042882,1.50959574432484e-08,10.01000302067861,1.537165793869364e-08,10.01000301972801,1.607046120702989e-08,10.01000301993046,1.668158913773638e-08
